"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Alley","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","BldgType","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","Fence","MiscVal","YrSold","SaleType","SaleCondition","SalePrice","PoolQC_f","MiscFeature_f","Condition2_f","YearRemodeDecile","MoSoldQtr","AgeofHouse","Time_Since_Remodel","num_ext_materials","num_basmt_materials","perc_2nd_1st_floor","perc_1st_tot_floor","perc_unf_bsmt","num_excellents","perc_openArea","predicted_price"
263,"80","RL",88,8471,"Missing","IR1","Lvl","Corner","Gtl","Sawyer","Norm","1Fam",6,7,"Gable","CompShg","HdBoard","Plywood","BrkFace",46,"TA","TA","CBlock","Gd","Gd","Av","ALQ",506,"Unf",506,"GasA","TA","Y","SBrkr",1212,0,1212,1,0,1,0,3,1,"TA",6,"Typ",1,"TA","Attchd","Unf",2,492,"TA","TA","Y",292,12,0,0,0,"GdWo",0,2006,"WD","Normal",151000,0,"0",1,"4","Q3",29,11,2,2,0,1,0,0,0.856923621768386,163331.353628023
264,"50","RM",50,5500,"Missing","Reg","Lvl","Corner","Gtl","OldTown","Norm","1Fam",5,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","LwQ",234,"ALQ",926,"GasA","TA","Y","SBrkr",926,390,1316,1,0,1,0,3,1,"TA",6,"Typ",0,"No Fireplace","Detchd","Unf",2,484,"TA","TA","Y",0,0,0,0,0,"No Fence",0,2010,"WD","Normal",130000,0,"0",1,"4","Q2",81,9,1,2,0,0.703647416413374,0,0,0.831636363636364,130431.495425053
266,"20","RL",78,12090,"Missing","IR1","Lvl","Inside","Gtl","NWAmes","Norm","1Fam",6,6,"Gable","CompShg","MetalSd","MetalSd","BrkFace",210,"TA","Gd","CBlock","Gd","TA","No","GLQ",588,"LwQ",1422,"GasA","TA","Y","SBrkr",1422,0,1422,0,0,2,0,3,1,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,576,"TA","TA","Y",276,0,0,0,0,"GdPrv",0,2008,"WD","Normal",175500,0,"0",1,"3","Q2",27,27,1,2,0,1,0.426160337552743,0,0.882382133995037,182290.580724226
267,"60","RL",70,11207,"Missing","IR1","HLS","FR2","Gtl","Gilbert","Norm","1Fam",6,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",714,"Unf",802,"GasA","Gd","Y","SBrkr",802,0,1511,1,0,2,1,3,1,"TA",8,"Typ",1,"TA","Attchd","Fin",2,413,"TA","TA","Y",95,75,0,0,0,"No Fence",0,2006,"WD","Normal",185000,0,"0",1,"4","Q2",9,9,1,2,0.884039900249377,0.530774321641297,0.109725685785536,0,0.928437583653074,185617.217752855
268,"75","RL",60,8400,"Missing","Reg","Bnk","Inside","Mod","SWISU","Norm","1Fam",5,8,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","LwQ",378,"Unf",720,"GasA","Ex","Y","SBrkr",1052,420,2192,0,0,2,1,4,1,"Gd",8,"Typ",1,"Gd","Detchd","Unf",1,240,"TA","TA","Y",262,24,0,0,0,"No Fence",0,2008,"WD","Normal",179500,0,"0",1,"4","Q3",69,11,1,2,0.684410646387833,0.47992700729927,0.475,0.111111111111111,0.874761904761905,186028.159106124
271,"60","FV",84,10728,"Missing","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Mn","Unf",0,"Unf",1095,"GasA","Gd","Y","SBrkr",1095,0,1939,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","RFn",3,1053,"TA","TA","Y",192,51,0,0,0,"No Fence",0,2006,"New","Partial",266000,0,"0",1,"4","Q3",0,0,1,0,0.770776255707763,0.56472408457968,1,0,0.897930648769575,261944.243406845
273,"60","RL",92,11764,"Missing","IR1","Lvl","CulDSac","Gtl","NoRidge","Norm","1Fam",8,7,"Gable","CompShg","VinylSd","VinylSd","BrkFace",348,"Gd","TA","PConc","Gd","TA","No","GLQ",524,"Unf",1152,"GasA","Ex","Y","SBrkr",1164,0,2270,0,0,2,1,4,1,"Gd",9,"Typ",1,"Gd","Attchd","Fin",3,671,"TA","TA","Y",132,57,0,0,0,"No Fence",0,2010,"WD","Normal",290000,0,"0",1,"4","Q2",11,3,1,2,0.950171821305842,0.512775330396476,0.545138888888889,0.111111111111111,0.901054063243795,302896.367427939
274,"20","RL",80,9600,"Missing","Reg","Lvl","Inside","Gtl","NAmes","Feedr","1Fam",6,6,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkCmn",183,"TA","TA","CBlock","TA","TA","No","Rec",620,"LwQ",1240,"GasA","Gd","Y","SBrkr",1632,0,1632,1,0,2,0,3,1,"TA",6,"Min1",1,"Gd","Attchd","RFn",1,338,"TA","TA","Y",289,0,0,0,0,"MnPrv",0,2009,"WD","Normal",139000,0,"0",1,"3","Q2",51,21,1,2,0,1,0,0,0.83,158856.717204463
275,"20","RL",76,8314,"Missing","Reg","Lvl","Corner","Gtl","Mitchel","Norm","1Fam",5,7,"Gable","CompShg","HdBoard","ImStucc","None",0,"TA","TA","CBlock","TA","TA","Gd","ALQ",546,"Unf",816,"GasA","TA","Y","SBrkr",816,0,816,0,0,1,0,2,1,"TA",5,"Typ",0,"No Fireplace","Attchd","Unf",1,264,"TA","TA","Y",168,0,0,0,0,"No Fence",0,2007,"WD","Normal",124500,0,"0",1,"3","Q2",25,25,2,2,0,1,0.330882352941176,0,0.901852297329805,125963.661303531
276,"50","RL",55,7264,"Missing","Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam",7,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",952,"GasW","Gd","N","SBrkr",952,0,1548,0,0,2,1,3,1,"Ex",5,"Typ",0,"No Fireplace","Detchd","Unf",2,672,"TA","TA","Y",74,0,0,0,144,"No Fence",0,2009,"WD","Normal",205000,0,"0",1,"4","Q4",84,2,1,0,0.626050420168067,0.614987080103359,1,0.111111111111111,0.868942731277533,192361.808742083
277,"20","RL",129,9196,"Missing","IR1","Lvl","Inside","Gtl","Mitchel","Norm","1Fam",7,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","Unf",0,"Unf",1560,"GasA","Ex","Y","SBrkr",1560,0,1560,0,0,2,0,3,1,"Gd",7,"Typ",0,"No Fireplace","Attchd","Fin",2,573,"TA","TA","Y",100,150,0,0,0,"No Fence",0,2010,"WD","Normal",201000,0,"0",1,"4","Q2",7,7,1,0,0,1,1,0.222222222222222,0.830361026533275,206097.617831698
278,"20","RL",140,19138,"Missing","Reg","Lvl","Corner","Gtl","Gilbert","Norm","1Fam",4,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",120,"Unf",864,"GasA","Ex","Y","SBrkr",864,0,864,0,0,1,0,2,1,"TA",4,"Typ",0,"No Fireplace","Detchd","Unf",2,400,"TA","TA","Y",0,0,0,0,0,"No Fence",0,2010,"WD","Normal",141000,0,"0",1,"2","Q2",59,59,1,2,0,1,0.861111111111111,0.111111111111111,0.954854216741561,110766.233612302
279,"20","RL",107,14450,"Missing","Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam",9,5,"Gable","CompShg","CemntBd","CmentBd","BrkFace",315,"Ex","TA","PConc","Ex","TA","Gd","Unf",0,"Unf",2121,"GasA","Ex","Y","SBrkr",2121,0,2121,0,0,2,1,3,1,"Ex",8,"Typ",1,"Ex","Attchd","Fin",3,732,"TA","TA","Y",124,98,0,0,142,"No Fence",0,2007,"New","Partial",415298,0,"0",1,"4","Q2",1,0,2,0,0,1,1,0.555555555555556,0.853217993079585,382638.805677402
280,"60","RL",83,10005,"Missing","Reg","Lvl","Inside","Gtl","ClearCr","Norm","1Fam",7,5,"Hip","CompShg","Plywood","Plywood","BrkFace",299,"TA","TA","CBlock","Gd","TA","No","BLQ",392,"Unf",1160,"GasA","Ex","Y","SBrkr",1156,0,2022,0,0,2,1,4,1,"TA",8,"Typ",1,"TA","Attchd","Fin",2,505,"TA","TA","Y",288,117,0,0,0,"No Fence",0,2008,"WD","Normal",192000,0,"0",1,"3","Q1",31,31,1,2,0.749134948096886,0.571711177052423,0.662068965517241,0.111111111111111,0.884457771114443,202941.000316655
281,"60","RL",82,11287,"Missing","Reg","Lvl","Inside","Gtl","SawyerW","Norm","1Fam",7,6,"Gable","CompShg","Plywood","Plywood","BrkFace",340,"Gd","TA","CBlock","Gd","TA","Av","GLQ",421,"Unf",807,"GasA","Gd","Y","SBrkr",1175,0,1982,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Attchd","Fin",2,575,"TA","TA","Y",0,84,0,196,0,"No Fence",0,2007,"WD","Normal",228500,0,"0",1,"3","Q1",18,18,1,2,0.686808510638298,0.592835519677094,0.478314745972739,0,0.895897935678214,213391.483031231
282,"20","FV",60,7200,"Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam",6,5,"Gable","CompShg","VinylSd","VinylSd","Stone",68,"Gd","TA","PConc","Gd","TA","No","GLQ",905,"Unf",1262,"GasA","Gd","Y","SBrkr",1262,0,1262,0,0,2,0,2,1,"Gd",5,"Typ",0,"No Fireplace","Attchd","Fin",2,572,"TA","TA","Y",0,120,0,0,0,"No Fence",0,2006,"New","Partial",185000,0,"0",1,"4","Q2",0,0,1,2,0,1,0.282884310618067,0,0.824722222222222,193038.87156398
285,"120","RL",50,8012,"Missing","Reg","Lvl","Inside","Gtl","SawyerW","Norm","TwnhsE",6,5,"Gable","CompShg","Plywood","ImStucc","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",430,"Unf",1575,"GasA","Gd","Y","SBrkr",1575,0,1575,1,0,2,0,2,1,"Gd",5,"Typ",0,"No Fireplace","Attchd","RFn",2,529,"TA","TA","Y",0,0,52,0,0,"No Fence",0,2007,"WD","Normal",179200,0,"0",1,"4","Q3",15,15,2,2,0,1,0.726984126984127,0,0.803419870194708,179647.652910202
287,"50","RL",77,9786,"Missing","IR1","Bnk","Inside","Gtl","NAmes","Norm","1Fam",6,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",600,"Unf",912,"GasA","TA","Y","SBrkr",1085,0,1734,0,0,1,1,3,1,"Gd",7,"Typ",1,"Gd","Attchd","RFn",2,440,"TA","TA","Y",0,0,0,0,128,"GdPrv",0,2006,"WD","Normal",159000,0,"0",1,"3","Q2",44,25,1,2,0.59815668202765,0.625720876585928,0.342105263157895,0,0.889127324749642,175475.725419391
290,"70","RL",60,8730,"Missing","Reg","Lvl","Inside","Gtl","BrkSide","RRAn","1Fam",6,7,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",698,"GasA","Ex","Y","FuseA",698,0,1396,0,0,1,0,3,1,"TA",7,"Typ",0,"No Fireplace","Detchd","Unf",1,384,"TA","TA","Y",0,0,0,0,259,"No Fence",0,2007,"WD","Normal",153575,0,"0",1,"4","Q3",92,4,1,0,1,0.5,1,0.111111111111111,0.920045819014891,143804.758824073
292,"190","RL",55,5687,"Grvl","Reg","Bnk","Inside","Gtl","SWISU","Norm","2fmCon",5,6,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Fa","PConc","TA","Fa","No","Rec",210,"Unf",780,"GasA","Ex","N","SBrkr",936,0,1716,1,0,2,0,6,1,"Fa",9,"Typ",0,"No Fireplace","No Garage","No Garage",0,0,"No Garage","No Garage","N",0,184,0,0,0,"No Fence",0,2008,"WD","Normal",135900,0,"0",1,"4","Q1",96,8,1,2,0.833333333333333,0.545454545454545,0.730769230769231,0.111111111111111,0.835414102338667,126396.15756636
293,"50","RL",60,11409,"Missing","Reg","Lvl","Inside","Gtl","Edwards","Norm","1Fam",5,4,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",292,"Unf",768,"GasA","Gd","Y","SBrkr",1148,0,1716,0,0,1,1,3,1,"TA",8,"Min2",1,"Gd","Attchd","Unf",1,281,"TA","TA","Y",0,0,0,0,160,"No Fence",0,2009,"WD","Normal",131000,0,"0",1,"4","Q1",60,1,1,2,0.494773519163763,0.668997668997669,0.619791666666667,0,0.899377684284337,134108.246874898
295,"20","RL",80,9600,"Missing","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",6,5,"Hip","CompShg","HdBoard","HdBoard","Stone",238,"TA","TA","CBlock","TA","TA","No","GLQ",1285,"Unf",1416,"GasA","TA","Y","SBrkr",1644,0,1644,1,0,1,0,3,1,"TA",7,"Typ",2,"Gd","Attchd","Fin",2,418,"TA","TA","Y",110,0,0,0,0,"No Fence",0,2009,"WD","Normal",167000,0,"0",1,"2","Q4",56,56,1,2,0,1,0.0925141242937853,0,0.82875,182449.179286852
296,"80","RL",37,7937,"Missing","IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam",6,6,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","GLQ",819,"Unf",1003,"GasA","TA","Y","SBrkr",1003,0,1003,1,0,1,0,3,1,"TA",6,"Typ",0,"No Fireplace","Detchd","Unf",2,588,"TA","TA","Y",120,0,0,0,0,"GdPrv",0,2006,"WD","Normal",142500,0,"0",1,"3","Q1",22,22,1,2,0,1,0.183449651046859,0,0.873629834950233,154322.337740362
297,"50","RM",75,13710,"Missing","Reg","Lvl","Inside","Gtl","IDOTRR","Norm","1Fam",5,5,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",420,"Unf",910,"GasA","TA","Y","FuseA",910,0,1558,0,0,1,1,4,1,"TA",6,"Typ",0,"No Fireplace","Attchd","Unf",1,282,"TA","TA","Y",289,0,0,0,0,"MnPrv",0,2007,"WD","Normal",152000,0,"0",1,"1","Q2",57,57,1,2,0.712087912087912,0.58408215661104,0.538461538461538,0,0.933625091174325,135182.03915093
298,"60","FV",66,7399,"Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","1Fam",7,5,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1600,"Gd","TA","PConc","Gd","TA","No","BLQ",649,"Unf",975,"GasA","Ex","Y","SBrkr",975,0,1950,0,0,2,1,3,1,"Gd",7,"Typ",1,"TA","Detchd","RFn",2,576,"TA","TA","Y",0,10,0,0,198,"No Fence",0,2007,"WD","Normal",239000,0,"0",1,"4","Q2",10,9,1,2,1,0.5,0.334358974358974,0.111111111111111,0.868225435869712,232831.574603729
299,"60","RL",90,11700,"Missing","Reg","Lvl","Inside","Gtl","NWAmes","Norm","1Fam",6,6,"Mansard","CompShg","HdBoard","AsphShn","BrkFace",365,"Gd","TA","CBlock","TA","TA","No","ALQ",384,"Rec",702,"GasA","Gd","Y","SBrkr",1041,0,1743,0,1,1,2,3,1,"TA",7,"Typ",1,"Gd","Attchd","Unf",2,539,"TA","TA","Y",224,0,0,0,0,"No Fence",0,2007,"WD","Normal",175000,0,"0",1,"2","Q2",39,39,2,2,0.674351585014409,0.597246127366609,0.203703703703704,0,0.911025641025641,178480.133334943
300,"20","RL",80,14000,"Missing","Reg","Lvl","Inside","Gtl","Crawfor","Norm","1Fam",6,8,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",0,"Unf",1092,"GasA","Ex","Y","SBrkr",1152,0,1152,0,1,1,0,3,1,"Gd",6,"Typ",1,"Gd","Attchd","Unf",1,300,"TA","TA","Y",0,36,0,0,0,"GdPrv",0,2009,"WD","Family",158500,0,"0",1,"4","Q3",59,5,1,0,0,1,1,0.111111111111111,0.917714285714286,163137.829364225
302,"60","RL",66,16226,"Missing","IR3","Lvl","Inside","Gtl","CollgCr","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",281,"Unf",1028,"GasA","Ex","Y","SBrkr",1210,0,2452,0,0,2,1,4,1,"Gd",9,"Typ",1,"TA","BuiltIn","Fin",2,683,"TA","TA","Y",208,50,0,0,0,"No Fence",0,2007,"WD","Normal",267000,0,"0",1,"4","Q2",9,8,1,2,1.02644628099174,0.49347471451876,0.726653696498054,0.111111111111111,0.925428324910637,261042.912141885
306,"20","RL",80,10386,"Missing","Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam",8,5,"Gable","CompShg","CemntBd","CmentBd","Stone",246,"Gd","TA","PConc","Gd","TA","No","GLQ",1464,"Unf",2000,"GasA","Ex","Y","SBrkr",2000,0,2000,1,0,2,0,3,1,"Gd",8,"Typ",0,"No Fireplace","Attchd","Fin",3,888,"TA","TA","Y",168,0,0,0,0,"No Fence",0,2007,"WD","Normal",305900,0,"0",1,"4","Q3",3,2,2,2,0,1,0.268,0.111111111111111,0.807433082996341,276398.877502739
307,"60","RL",116,13474,"Missing","Reg","Lvl","Inside","Gtl","SawyerW","Feedr","1Fam",7,5,"Gable","CompShg","HdBoard","Plywood","BrkFace",246,"Gd","TA","CBlock","Gd","TA","No","ALQ",700,"Unf",700,"GasA","Gd","Y","SBrkr",1122,0,2243,1,0,2,1,4,1,"Gd",8,"Typ",1,"TA","Attchd","RFn",3,746,"TA","TA","Y",127,44,224,0,0,"No Fence",0,2007,"WD","Normal",225000,0,"0",1,"4","Q2",17,16,2,2,0.999108734402852,0.500222915737851,0,0,0.916728514175449,224676.465161974
309,"30","RL",69,12342,"Missing","IR1","Lvl","Inside","Gtl","Edwards","Norm","1Fam",4,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",262,"Unf",861,"GasA","Ex","Y","SBrkr",861,0,861,0,0,1,0,1,1,"TA",4,"Typ",0,"No Fireplace","Detchd","Unf",2,539,"TA","TA","Y",158,0,0,0,0,"No Fence",0,2009,"WD","Normal",82500,0,"0",1,"1","Q1",69,59,1,2,0,1,0.695702671312427,0.111111111111111,0.930238210986874,98503.3742416539
310,"20","RL",90,12378,"Missing","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam",9,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1274,"Unf",1896,"GasA","Ex","Y","SBrkr",1944,0,1944,1,0,2,0,3,1,"Ex",8,"Typ",3,"Ex","Attchd","Fin",3,708,"TA","TA","Y",208,175,0,0,0,"No Fence",0,2006,"WD","Normal",360000,0,"0",1,"4","Q4",3,2,1,2,0,1,0.328059071729958,0.444444444444444,0.8429471643238,383082.633853922
311,"60","RL",69,7685,"Missing","IR1","Lvl","Inside","Gtl","Gilbert","Norm","1Fam",6,5,"Gable","CompShg","HdBoard","HdBoard","BrkFace",112,"TA","TA","PConc","Gd","TA","No","ALQ",518,"Unf",697,"GasA","Gd","Y","SBrkr",697,0,1501,0,0,2,1,3,1,"Gd",6,"Typ",1,"TA","Attchd","Fin",2,420,"TA","TA","Y",190,63,0,0,0,"No Fence",0,2006,"WD","Normal",165600,0,"0",1,"4","Q2",13,12,1,2,1.15351506456241,0.46435709526982,0.256814921090387,0,0.909303838646714,167867.89605288
313,"190","RM",65,7800,"Missing","Reg","Lvl","Inside","Gtl","OldTown","Artery","2fmCon",5,7,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Mn","Rec",507,"Unf",793,"GasA","TA","Y","SBrkr",793,0,1118,1,0,1,0,3,1,"TA",5,"Typ",1,"Gd","Detchd","Unf",2,410,"TA","TA","Y",0,0,0,0,271,"MnPrv",0,2006,"WD","Normal",119900,0,"0",1,"1","Q2",67,56,1,2,0.409836065573771,0.709302325581395,0.360655737704918,0,0.898333333333333,128608.65593211
318,"60","FV",75,9000,"Missing","Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",1088,"GasA","Ex","Y","SBrkr",1088,0,1959,0,0,2,1,3,1,"Gd",8,"Typ",1,"Gd","Attchd","RFn",3,1025,"TA","TA","Y",208,46,0,0,0,"No Fence",0,2007,"WD","Normal",270000,0,"0",1,"4","Q4",1,1,1,0,0.800551470588235,0.55538540071465,1,0.111111111111111,0.879111111111111,256991.508236315
319,"60","RL",90,9900,"Missing","Reg","Low","Inside","Mod","NoRidge","Norm","1Fam",7,5,"Gable","CompShg","HdBoard","HdBoard","BrkFace",256,"Gd","TA","PConc","Gd","TA","Gd","GLQ",987,"Unf",1347,"GasA","Ex","Y","SBrkr",1372,0,2646,1,0,2,1,4,1,"Gd",9,"Typ",1,"TA","Attchd","RFn",3,656,"TA","TA","Y",340,60,144,0,0,"No Fence",0,2009,"WD","Normal",260000,0,"0",1,"4","Q2",16,16,1,2,0.928571428571429,0.518518518518518,0.267260579064588,0.111111111111111,0.861414141414141,318910.172537118
321,"60","RL",111,16259,"Missing","Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam",9,5,"Gable","CompShg","VinylSd","VinylSd","Stone",370,"TA","TA","PConc","Ex","Gd","Av","Unf",0,"Unf",1249,"GasA","Ex","Y","SBrkr",1249,0,2596,0,0,3,1,4,1,"Gd",9,"Typ",0,"No Fireplace","Attchd","RFn",3,840,"TA","TA","Y",240,154,0,0,0,"No Fence",0,2006,"New","Partial",342643,0,"0",1,"4","Q3",0,0,1,0,1.07846277021617,0.481124807395994,1,0.222222222222222,0.923181007442032,340679.046709138
322,"60","RL",99,12099,"Missing","IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam",8,5,"Gable","CompShg","VinylSd","VinylSd","BrkFace",388,"Gd","TA","PConc","Ex","TA","Av","GLQ",970,"Unf",1136,"GasA","Ex","Y","SBrkr",1136,0,2468,1,0,2,1,4,1,"Gd",10,"Typ",1,"Gd","BuiltIn","Fin",3,872,"TA","TA","Y",184,154,0,0,0,"No Fence",0,2007,"WD","Normal",354000,0,"0",1,"4","Q2",3,3,1,2,1.17253521126761,0.460291734197731,0.14612676056338,0.222222222222222,0.90610794280519,335922.285274594
325,"80","RL",96,11275,"Missing","Reg","Lvl","Corner","Gtl","NAmes","PosN","1Fam",7,7,"Mansard","WdShake","Wd Sdng","Wd Sdng","BrkFace",300,"Gd","Gd","CBlock","Gd","TA","No","Unf",0,"Unf",710,"GasA","Ex","Y","SBrkr",1898,0,2978,0,0,2,1,5,1,"Gd",11,"Typ",1,"Gd","BuiltIn","Fin",2,564,"TA","TA","Y",240,0,0,0,0,"No Fence",0,2010,"WD","Normal",242000,0,"0",1,"4","Q2",43,3,1,0,0.569020021074816,0.637340496977837,1,0.111111111111111,0.831662971175166,249875.24931038
326,"45","RM",50,5000,"Missing","Reg","Lvl","Inside","Gtl","IDOTRR","RRAe","1Fam",5,6,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Av","BLQ",116,"Unf",720,"GasA","Po","N","FuseF",803,0,803,0,0,1,0,2,1,"TA",5,"Typ",0,"No Fireplace","Detchd","Unf",2,360,"TA","TA","Y",0,0,244,0,0,"No Fence",0,2007,"WD","Normal",87000,0,"0",1,"1","Q4",66,57,1,2,0,1,0.838888888888889,0,0.8394,95205.2328121791
327,"120","RL",32,10846,"Missing","IR1","Lvl","CulDSac","Gtl","Veenker","Norm","TwnhsE",8,5,"Gable","CompShg","BrkFace","BrkFace","None",0,"Gd","TA","PConc","Gd","TA","Gd","GLQ",1619,"Unf",1719,"GasA","Ex","Y","SBrkr",1719,0,1719,2,0,1,1,1,1,"Gd",6,"Typ",2,"Gd","Attchd","Fin",2,473,"TA","TA","Y",122,30,0,0,0,"No Fence",0,2008,"Con","Normal",324000,0,"0",1,"4","Q2",15,15,1,2,0,1,0.058173356602676,0.111111111111111,0.841508390189932,285650.573350128
328,"20","RL",80,11600,"Missing","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",6,5,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",175,"TA","TA","CBlock","TA","TA","No","Rec",565,"Unf",1383,"GasA","TA","Y","SBrkr",1383,0,1383,0,0,1,1,3,1,"TA",7,"Typ",0,"No Fireplace","Attchd","RFn",1,292,"TA","TA","Y",0,45,0,0,0,"No Fence",0,2006,"WD","Normal",145250,0,"0",1,"2","Q2",46,46,1,2,0,1,0.591467823571945,0,0.880775862068966,148036.281227168
329,"75","RL",69,11888,"Pave","IR1","Bnk","Inside","Gtl","BrkSide","PosN","1Fam",6,6,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",844,"GasA","Gd","N","FuseA",1445,0,2134,0,0,2,0,5,1,"Gd",10,"Typ",0,"No Fireplace","Detchd","Unf",2,441,"TA","TA","Y",0,60,268,0,0,"No Fence",0,2009,"WD","Normal",214500,0,"0",1,"4","Q3",93,15,2,0,0.47681660899654,0.677132146204311,1,0,0.878448855989233,156847.567682427
331,"90","RL",69,10624,"Missing","IR1","Lvl","Inside","Gtl","NAmes","Norm","Duplex",5,4,"Gable","CompShg","HdBoard","HdBoard","BrkFace",84,"TA","TA","CBlock","TA","TA","No","GLQ",40,"Rec",1728,"GasA","TA","Y","SBrkr",1728,0,1728,0,1,2,0,6,2,"TA",10,"Typ",0,"No Fireplace","Detchd","Unf",1,352,"TA","TA","Y",155,0,0,0,0,"No Fence",0,2007,"WD","Normal",119000,0,"0",1,"2","Q4",43,43,1,2,0,1,0.824074074074074,0,0.837349397590361,141835.241790438
332,"20","RL",70,8176,"Missing","Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam",5,6,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",846,"Unf",1056,"GasA","Fa","Y","SBrkr",1056,0,1056,1,0,1,0,3,1,"TA",6,"Typ",0,"No Fireplace","Attchd","RFn",1,308,"TA","TA","Y",0,0,0,0,0,"No Fence",0,2007,"WD","Normal",139000,0,"0",1,"4","Q3",49,15,1,2,0,1,0.198863636363636,0,0.870841487279843,132323.729980321
340,"20","RL",66,12400,"Missing","IR1","Lvl","Inside","Gtl","NAmes","Feedr","1Fam",6,7,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",176,"TA","TA","CBlock","TA","Fa","No","Rec",585,"Unf",1215,"GasA","TA","Y","FuseA",1215,0,1215,0,0,1,0,3,1,"TA",6,"Typ",0,"No Fireplace","Attchd","Unf",1,297,"TA","TA","Y",0,0,0,0,234,"No Fence",0,2009,"WD","Normal",155000,0,"0",1,"4","Q2",51,11,1,2,0,1,0.518518518518518,0,0.902016129032258,151507.151427643
